# Rime user dictionary
#@/db_name	clover
#@/db_type	userdb
#@/rime_version	1.8.5
#@/tick	8158
#@/user_id	3dec6ac1-e48f-48db-b571-d010f4307a57
a 	啊	c=78 d=10.1101 t=8158
li lun 	立论	c=0 d=1.55002e-10 t=8158
li mian 	里面	c=13 d=2.20472 t=8158
li ni 	离你	c=1 d=1.06549e-11 t=8158
li pu 	离谱	c=2 d=0.970446 t=8158
li qing 	李庆	c=0 d=4.24691e-15 t=8158
li qing lei 	李庆雷	c=1 d=4.2682e-14 t=8158
li qing zhao 	李清照	c=1 d=1.02584e-06 t=8158
li rong 	李荣	c=0 d=4.28959e-15 t=8158
li rong ying 	李荣英	c=1 d=4.31109e-14 t=8158
li shan 	历山	c=0 d=2.13973e-09 t=8158
li shi 	历史	c=2 d=0.000523533 t=8158
li su 	李肃	c=1 d=0.00106477 t=8158
li su 	李苏	c=0 d=2.96297e-15 t=8158
li su ke 	李苏珂	c=4 d=1.94648 t=8158
li xiang 	理想	c=0 d=1.34148e-16 t=8158
li yong 	利用	c=3 d=1.77787 t=8158
li yong 	李用	c=1 d=0.00394621 t=8158
li yong lv 	利用率	c=1 d=0.00449405 t=8158
li yong shan 	李用山	c=1 d=4.10084e-14 t=8158
li yu 	利于	c=1 d=5.53273e-08 t=8158
li zhi 	李治	c=1 d=1.55752e-07 t=8158
li zi 	例子	c=1 d=0.995012 t=8158
lian 	连	c=2 d=0.937067 t=8158
lian biao 	链表	c=1 d=1.70038e-10 t=8158
lian bu shang 	连不上	c=4 d=4.8091e-06 t=8158
lian he 	联合	c=2 d=2.70494e-08 t=8158
lian he fa wen 	联合发文	c=1 d=1.23452e-08 t=8158
lian jie 	连接	c=3 d=1.30421e-06 t=8158
lian xi 	联系	c=1 d=0.118837 t=8158
liang 	两	c=1 d=3.87927e-08 t=8158
liang 	亮	c=1 d=3.44131e-10 t=8158
liang bei 	两倍	c=1 d=4.99499e-11 t=8158
liang bian 	量变	c=1 d=3.87004e-09 t=8158
liang ci 	两次	c=1 d=1.11723e-10 t=8158
liang du 	亮度	c=7 d=4.65257 t=8158
liang ge 	两个	c=5 d=0.985132 t=8158
liang gong liang bao jia san tong 	两公两报加三通	c=1 d=9.61444e-09 t=8158
liang hang 	两行	c=1 d=1.80522e-08 t=8158
liang hang 	粮行	c=1 d=1.29781e-08 t=8158
liang ju 	两句	c=2 d=0.000342488 t=8158
liang xia 	两下	c=1 d=3.66419e-13 t=8158
liang zhou 	梁州	c=1 d=8.69802e-07 t=8158
liao jie 	了解	c=1 d=0.458406 t=8158
liao tian 	聊天	c=1 d=2.51707e-07 t=8158
lin jun 	林军	c=0 d=1.03883e-08 t=8158
lin shi 	临时	c=2 d=0.995012 t=8158
lin zhen 	临阵	c=0 d=3.1289e-09 t=8158
lin zhen dao ge 	临阵倒戈	c=1 d=3.14458e-08 t=8158
lin zhou 	林州	c=6 d=2.96042 t=8158
lin zhou shi 	林州市	c=7 d=2.96143 t=8158
ling 	令	c=0 d=7.10416e-09 t=8158
ling dao 	领导	c=3 d=9.75537e-09 t=8158
ling hun 	灵魂	c=2 d=0.117864 t=8158
ling huo 	灵活	c=1 d=0.683861 t=8158
ling ling luo luo 	零零落落	c=0 d=0.0995012 t=8158
ling yan ge 	凌烟阁	c=1 d=1.48156e-07 t=8158
ling yu 	领域	c=1 d=7.83238e-09 t=8158
liu 	流	c=2 d=1 t=8158
liu bei 	刘备	c=1 d=7.39409e-08 t=8158
liu cheng tu 	流程图	c=1 d=2.30004e-05 t=8158
liu e 	刘鹗	c=1 d=2.72013e-08 t=8158
liu lan qi 	浏览器	c=3 d=0.995012 t=8158
liu shi nian 	六十年	c=1 d=0.000237581 t=8158
liu tong shou duan 	流通手段	c=1 d=9.785e-10 t=8158
liu wei 	六位	c=2 d=2.18454e-08 t=8158
liu xiu 	刘秀	c=1 d=1.05982e-07 t=8158
long 	龙	c=0 d=2.07649e-09 t=8158
long duan 	垄断	c=1 d=4.14924e-05 t=8158
long qu ding hu 	龙去鼎湖	c=1 d=2.0869e-08 t=8158
long shan 	龙山	c=1 d=4.18368e-14 t=8158
lou 	漏	c=1 d=4.87167e-11 t=8158
lou chu lai 	漏出来	c=0 d=5.43906e-14 t=8158
lu 	路	c=0 d=9.98097e-09 t=8158
lu 	鲁	c=1 d=1.78725e-08 t=8158
lu ge 	录个	c=0 d=9.02962e-07 t=8158
lu ge ping 	录个屏	c=1 d=9.07488e-06 t=8158
lu xun 	陆逊	c=1 d=1.34057e-07 t=8158
lu you biao 	路由表	c=1 d=1.60993e-14 t=8158
lu you qi 	路由器	c=2 d=3.26209e-14 t=8158
lu yu 	陆羽	c=3 d=5.68839e-07 t=8158
lun wen 	论文	c=4 d=3.44378 t=8158
lun zi 	轮子	c=1 d=9.12037e-06 t=8158
luo ji 	逻辑	c=4 d=1.98556e-08 t=8158
luo ma 	罗马	c=1 d=2.9763e-08 t=8158
luo xia 	落霞	c=4 d=3.749 t=8158
lv 	率	c=0 d=0.0798516 t=8158
lv 	绿	c=0 d=1.03883e-08 t=8158
lv lin jun 	绿林军	c=1 d=1.04404e-07 t=8158
lv zheng xuan 	旅政宣	c=1 d=1.37119e-08 t=8158
ma 	吗	c=71 d=8.36499 t=8158
ma chang 	马场	c=0 d=9.44684e-09 t=8158
ma si luo 	马斯洛	c=1 d=1.88375e-09 t=8158
ma ya 	玛雅	c=1 d=3.35077e-08 t=8158
ma ya ri zhi 	玛雅日志	c=1 d=3.00621e-08 t=8158
ma yi 	蚂蚁	c=0 d=0.0582748 t=8158
ma yi sen lin 	蚂蚁森林	c=1 d=0.585669 t=8158
ma zhi yuan 	马致远	c=1 d=9.83238e-08 t=8158
mai 	买	c=6 d=0.752014 t=8158
mai de 	买的	c=1 d=0.640824 t=8158
mai ge 	买个	c=1 d=0.00179994 t=8158
man 	慢	c=1 d=1.03954e-15 t=8158
man man 	慢慢	c=1 d=0.852144 t=8158
man zu gan 	满足感	c=1 d=1.26905e-09 t=8158
mang cong 	盲从	c=1 d=4.77439e-09 t=8158
mao 	毛	c=2 d=0.574072 t=8158
mao 	猫	c=0 d=6.91205e-10 t=8158
mao hao 	冒号	c=0 d=1.4059e-09 t=8158
mao si 	貌似	c=7 d=0.899513 t=8158
me 	么	c=2 d=8.89528e-06 t=8158
mei 	没	c=25 d=2.92395 t=8158
mei ban fa 	没办法	c=1 d=2.23396e-15 t=8158
mei bi yao 	没必要	c=3 d=3.58719e-10 t=8158
mei cheng gong 	没成功	c=1 d=0.00778933 t=8158
mei ci 	每次	c=3 d=2.68843 t=8158
mei dao 	没到	c=3 d=2.60863e-09 t=8158
mei ge 	每个	c=4 d=0.0388437 t=8158
mei hang 	美行	c=1 d=9.44845e-10 t=8158
mei ji cuo 	没记错	c=1 d=2.10752e-06 t=8158
mei jian guo 	没见过	c=1 d=3.64653e-15 t=8158
mei kai 	没开	c=1 d=0.218712 t=8158
mei le 	没了	c=1 d=2.79574e-07 t=8158
mei ren 	媒人	c=1 d=4.67905e-07 t=8158
mei sha 	没啥	c=1 d=0.000125275 t=8158
mei sha yong 	没啥用	c=1 d=1 t=8158
mei shan 	没闪	c=1 d=0.164474 t=8158
mei shi 	没事	c=1 d=3.66481e-15 t=8158
mei shi guo 	没试过	c=1 d=0.609571 t=8158
mei tai 	没太	c=0 d=1.77007e-13 t=8158
mei tai zhu yi 	没太注意	c=1 d=1.77895e-12 t=8158
mei tian 	每天	c=1 d=0.571209 t=8158
mei wen ti 	没问题	c=1 d=2.54367e-13 t=8158
mei yi 	每一	c=0 d=3.88878e-08 t=8158
mei yi zheng 	每一帧	c=1 d=3.90827e-07 t=8158
mei yong 	没用	c=4 d=0.00780781 t=8158
mei you 	没有	c=23 d=1.3168 t=8158
mei you shui shou 	没有税收	c=1 d=1.14255e-09 t=8158
mei zhao dao 	没找到	c=1 d=0.000422213 t=8158
mei zhuang 	没装	c=1 d=0.000413853 t=8158
men 	们	c=1 d=0.890072 t=8158
men 	门	c=1 d=0.00241755 t=8158
men kuang 	门框	c=1 d=0.00701293 t=8158
men piao 	门票	c=0 d=0.0995012 t=8158
meng 	孟	c=2 d=1.07842e-07 t=8158
meng 	猛	c=1 d=2.46723e-07 t=8158
meng chang jun 	孟尝君	c=1 d=4.41797e-08 t=8158
meng zhong shu ji 	孟仲叔季	c=1 d=5.84555e-08 t=8158
mi 	密	c=1 d=0.609571 t=8158
mi 	米	c=1 d=1 t=8158
mi 	迷	c=1 d=0.980199 t=8158
mi hu 	迷糊	c=0 d=7.77187e-07 t=8158
mi ji 	密级	c=1 d=1.16263e-08 t=8158
mi ma 	密码	c=4 d=2.98506 t=8158
mian 	面	c=1 d=0.000796726 t=8158
mian ban 	面板	c=1 d=2.43132e-11 t=8158
mian fei 	免费	c=3 d=1 t=8158
mian liu 	免流	c=2 d=0.0173936 t=8158
mian qiang 	勉强	c=1 d=0.946485 t=8158
mian shi 	面试	c=1 d=0.965605 t=8158
mian xiang 	面向	c=2 d=3.54951e-10 t=8158
miao shou hui chun 	妙手回春	c=1 d=4.73831e-08 t=8158
miao shu 	描述	c=1 d=0.904837 t=8158
mie diao 	灭掉	c=1 d=8.23675e-13 t=8158
min sheng 	民生	c=1 d=7.54474e-10 t=8158
ming 	名	c=0 d=3.41785e-11 t=8158
ming bai 	明白	c=1 d=4.72527e-05 t=8158
ming ling 	命令	c=4 d=1.91215 t=8158
ming ling hang 	命令行	c=3 d=1.15758 t=8158
ming ming 	命名	c=2 d=0.995012 t=8158
ming ti 	命题	c=1 d=1.32426e-10 t=8158
ming tian 	明天	c=1 d=1.74853e-15 t=8158
ming tiao 	鸣条	c=0 d=2.62658e-09 t=8158
ming tiao zhi zhan 	鸣条之战	c=1 d=2.63974e-08 t=8158
ming xian 	明显	c=3 d=2.92392e-05 t=8158
ming zi 	名字	c=1 d=2.28343e-08 t=8158
miu lun 	谬论	c=1 d=7.15825e-09 t=8158
mo 	摸	c=0 d=1.17491e-15 t=8158
mo ban 	模版	c=5 d=0.212928 t=8158
mo bu 	莫不	c=1 d=0.158025 t=8158
mo bu shi 	莫不是	c=2 d=0.257947 t=8158
mo fei 	莫非	c=1 d=7.79199e-07 t=8158
mo fei ding lv 	墨菲定律	c=1 d=4.25573e-09 t=8158
mo fei wang tu 	莫非王土	c=1 d=7.67598e-07 t=8158
mo gao 	摸高	c=1 d=1.24756e-14 t=8158
mo gao 	莫高	c=1 d=1.22286e-14 t=8158
mo gu 	蘑菇	c=2 d=1.39959e-08 t=8158
mo gu xiao ying 	蘑菇效应	c=1 d=5.83145e-09 t=8158
mo hu 	模糊	c=2 d=0.000929968 t=8158
mo kuai 	模块	c=4 d=2.87883 t=8158
mo kuai ming 	模块名	c=1 d=1.7089e-10 t=8158
mo ming 	莫名	c=1 d=2.1353e-13 t=8158
mo ni qi 	模拟器	c=1 d=0.782705 t=8158
mo ren 	默认	c=7 d=1.86246 t=8158
mo sheng ren 	陌生人	c=1 d=5.6028e-09 t=8158
mo shi 	模式	c=4 d=2.68138e-05 t=8158
mo xiao bei 	莫小贝	c=1 d=8.06953e-07 t=8158
mo yu 	摸鱼	c=1 d=0.00388746 t=8158
mou 	某	c=3 d=7.27579e-12 t=8158
mou bu 	某部	c=1 d=1.80056e-07 t=8158
mou cai hai ming 	谋财害命	c=1 d=4.22357e-08 t=8158
mou ge 	某个	c=1 d=0.000197455 t=8158
mou hua 	谋划	c=1 d=1.51907e-07 t=8158
mu 	慕	c=1 d=4.7975e-07 t=8158
mu di 	目的	c=1 d=2.60044e-08 t=8158
mu lu 	目录	c=10 d=2.34201 t=8158
mu min 	牧民	c=1 d=2.21633e-10 t=8158
mu niu liu ma 	木牛流马	c=1 d=1.3814e-07 t=8158
mu xiao 	母校	c=1 d=8.19149e-07 t=8158
mu xu 	苜蓿	c=1 d=8.54786e-08 t=8158
mu ye zhi zhan 	牧野之战	c=2 d=6.22666e-08 t=8158
na 	哪	c=1 d=4.2756e-05 t=8158
na 	那	c=7 d=0.571377 t=8158
na bian 	那边	c=1 d=0.0109985 t=8158
na bu shi 	那不是	c=1 d=0.0490458 t=8158
na dao 	那倒	c=1 d=3.51142e-12 t=8158
na de 	哪的	c=1 d=1.08702e-11 t=8158
na ge 	哪个	c=3 d=0.0270999 t=8158
na ge 	那个	c=2 d=2.99717e-06 t=8158
na ge jin cheng 	那个进程	c=1 d=7.16191e-15 t=8158
na ge kuai 	哪个快	c=1 d=2.68055e-12 t=8158
na hai 	那还	c=0 d=0.00480747 t=8158
na hai shi 	那还是	c=1 d=0.0483156 t=8158
na le 	拿了	c=1 d=0.0507928 t=8158
na li 	哪里	c=4 d=4.57474e-06 t=8158
na me 	那么	c=3 d=0.0173846 t=8158
na me gao 	那么高	c=1 d=2.5441e-15 t=8158
na ping mu 	那屏幕	c=1 d=2.74224e-15 t=8158
na qu 	哪去	c=0 d=7.21275e-11 t=8158
na qu le 	哪去了	c=1 d=7.24891e-10 t=8158
na sha 	那啥	c=1 d=0.0374406 t=8158
na shi 	那是	c=1 d=0.985112 t=8158
na shi hou 	那时候	c=3 d=0.00856792 t=8158
na ta 	那它	c=1 d=0.99005 t=8158
na wei 	哪位	c=2 d=0.000147011 t=8158
na you 	哪有	c=1 d=3.7947e-13 t=8158
na zhong 	那种	c=4 d=1.00108 t=8158
nan 	南	c=1 d=0.995012 t=8158
nan dao 	难道	c=1 d=0.612626 t=8158
nan hua 	南华	c=0 d=7.79199e-08 t=8158
nan hua zhen ren 	南华真人	c=1 d=7.83104e-07 t=8158
nao zi 	脑子	c=2 d=0.0438562 t=8158
ne 	呢	c=18 d=1.49886 t=8158
nei 	内	c=1 d=1.46328e-08 t=8158
nei bu 	内部	c=1 d=4.32225e-15 t=8158
nei cun 	内存	c=4 d=1.93419 t=8158
nei juan 	内卷	c=1 d=7.23019e-09 t=8158
nei rong 	内容	c=1 d=9.85951e-11 t=8158
nei wang 	内网	c=1 d=1.58542e-10 t=8158
nei xin 	内心	c=1 d=0.891366 t=8158
neng 	能	c=19 d=2.51922 t=8158
neng gan sha 	能干啥	c=1 d=0.00224287 t=8158
neng kao 	能靠	c=0 d=0.099005 t=8158
neng kao ji ci 	能靠几次	c=1 d=0.995012 t=8158
neng shang 	能上	c=1 d=9.21674e-12 t=8158
neng shi xian 	能实现	c=1 d=2.93249e-10 t=8158
neng yong 	能用	c=3 d=6.36307e-06 t=8158
ni 	你	c=25 d=4.70857 t=8158
ni bu shi 	你不是	c=1 d=0.000108366 t=8158
ni da ye 	你大爷	c=0 d=7.43115e-09 t=8158
ni de 	你的	c=1 d=5.63376e-15 t=8158
ni dei 	你得	c=1 d=0.45612 t=8158
ni hao 	你好	c=18 d=7.05718 t=8158
ni hao ling ling luo luo ling ling luo luo 	你好零零落落零零落落	c=1 d=1 t=8158
ni ke yi 	你可以	c=2 d=0.000750328 t=8158
ni men 	你们	c=2 d=0.245507 t=8158
ni neng 	你能	c=2 d=1.16188e-09 t=8158
ni wan 	你玩	c=0 d=3.44072e-09 t=8158
ni wan wo ne 	你玩我呢	c=1 d=3.45797e-08 t=8158
ni wei zhi 	你位置	c=1 d=1.08159e-11 t=8158
ni ying gai 	你应该	c=2 d=1.27532 t=8158
ni yong 	你用	c=1 d=2.37129e-11 t=8158
ni zhe 	你这	c=1 d=0.418952 t=8158
nian 	年	c=9 d=0.557106 t=8158
nian fen 	年份	c=1 d=1.35078e-08 t=8158
niao long 	鸟笼	c=3 d=1.48368e-08 t=8158
niu 	牛	c=0 d=1.14255e-10 t=8158
niu ben 	牛犇	c=1 d=1.64614e-11 t=8158
niu rou 	牛肉	c=1 d=1 t=8158
nu li 	努力	c=1 d=2.17806e-11 t=8158
nu li zhi 	奴隶制	c=1 d=2.32956e-08 t=8158
nuo te 	诺特	c=1 d=0.0205478 t=8158
nv 	女	c=1 d=0.0475963 t=8158
nv ying 	女英	c=0 d=2.15046e-09 t=8158
o 	哦	c=1 d=3.97693e-06 t=8158
ou 	欧	c=1 d=7.54731e-14 t=8158
ou ke 	欧克	c=6 d=0.000182133 t=8158
ou li 	欧李	c=0 d=0.0826959 t=8158
ou li gei 	欧李给	c=1 d=0.831104 t=8158
pa 	怕	c=1 d=0.0407622 t=8158
pa chong 	爬虫	c=7 d=6.47319 t=8158
pa jin sen 	帕金森	c=4 d=1.99157e-08 t=8158
pa qu 	爬取	c=1 d=1.05704e-06 t=8158
pa qu jie dian 	爬取节点	c=1 d=3.32181e-06 t=8158
pa zha 	怕炸	c=1 d=2.38196e-05 t=8158
pai 	派	c=1 d=0.000833397 t=8158
pai ban 	排版	c=1 d=3.79406e-11 t=8158
pai su 	拍苏	c=1 d=1.44125e-06 t=8158
pai xu 	排序	c=9 d=4.1199 t=8158
pan duan 	判断	c=2 d=3.18738e-10 t=8158
pan geng 	盘庚	c=0 d=3.06694e-09 t=8158
pan geng qian yin 	盘庚迁殷	c=1 d=3.08231e-08 t=8158
pao 	跑	c=5 d=0.0027918 t=8158
pao bu 	跑步	c=1 d=0.794534 t=8158
pao bu qi lai a 	跑不起来啊	c=1 d=4.18083e-06 t=8158
pao lu 	跑路	c=1 d=0.00114197 t=8158
pao yi 	跑一	c=0 d=0.00448245 t=8158
pao yi ge 	跑一个	c=1 d=4.09025e-13 t=8158
pao yi xia 	跑一下	c=1 d=0.0450492 t=8158
pao zhe 	跑着	c=1 d=2.48686e-12 t=8158
pei 	配	c=2 d=4.52881e-11 t=8158
pei 	陪	c=0 d=1.7655e-12 t=8158
pei de 	配的	c=1 d=2.72857e-15 t=8158
pei qi 	佩奇	c=1 d=1.61327e-09 t=8158
pei yi ge 	陪一个	c=1 d=1.77435e-11 t=8158
pei zhi 	配置	c=22 d=2.8382 t=8158
peng 	碰	c=2 d=0.00878179 t=8158
peng dao 	碰到	c=7 d=1.00765 t=8158
pi 	批	c=1 d=3.98994e-15 t=8158
pi chu li 	批处理	c=1 d=1 t=8158
pi gu tong 	屁股痛	c=3 d=2.95052 t=8158
pi rou 	皮肉	c=0 d=1.15643e-05 t=8158
pi rou xie shang 	皮肉协商	c=1 d=0.000116223 t=8158
pian cha 	偏差	c=2 d=0.818927 t=8158
pian yi 	便宜	c=4 d=2.72372e-09 t=8158
pian yi 	偏移	c=1 d=1.47849e-12 t=8158
piao chang 	嫖娼	c=1 d=2.48644e-10 t=8158
pin 	拼	c=1 d=0.0112769 t=8158
pin de 	品德	c=0 d=1.30454e-11 t=8158
pin nuo 	品诺	c=1 d=0.970446 t=8158
pin yin 	拼音	c=1 d=1.88407e-11 t=8158
ping 	屏	c=2 d=0.2334 t=8158
ping di 	平籴	c=0 d=4.2874e-09 t=8158
ping di fa 	平籴法	c=1 d=4.30889e-08 t=8158
ping guo 	苹果	c=1 d=1 t=8158
ping ji 	平急	c=1 d=1.15106e-08 t=8158
ping jun 	平均	c=1 d=0.00444934 t=8158
ping lun 	评论	c=3 d=0.600562 t=8158
ping mu 	屏幕	c=21 d=3.74557 t=8158
ping pang qiu 	乒乓球	c=1 d=2.37784e-14 t=8158
ping sha 	平沙	c=1 d=1.00813e-07 t=8158
ping yuan jun 	平原君	c=1 d=4.44012e-08 t=8158
po 	破	c=1 d=0.83527 t=8158
po an 	破案	c=2 d=2.44492e-05 t=8158
po chuang li lun 	破窗理论	c=2 d=9.10583e-09 t=8158
po jie 	破解	c=1 d=0.00360656 t=8158
pu bian 	普遍	c=3 d=0.00803797 t=8158
pu tao 	葡萄	c=1 d=0.00104368 t=8158
pu tian zhi xia 	普天之下	c=1 d=7.63769e-07 t=8158
qi 	器	c=2 d=0.19415 t=8158
qi 	起	c=1 d=0.0086517 t=8158
qi 	骑	c=1 d=1.63343e-08 t=8158
qi bu shi 	岂不是	c=1 d=0.000199439 t=8158
qi dai 	期待	c=0 d=5.77343e-10 t=8158
qi dai xiao ying 	期待效应	c=1 d=5.80237e-09 t=8158
qi de 	起的	c=2 d=1.14857e-07 t=8158
qi dong 	启动	c=11 d=4.23549 t=8158
qi dong qi 	启动器	c=3 d=5.32864e-07 t=8158
qi dong xiang 	启动项	c=3 d=1.49791 t=8158
qi e 	企鹅	c=1 d=1.63032e-15 t=8158
qi fei 	齐飞	c=2 d=1.9362 t=8158
qi huan gong 	齐桓公	c=1 d=3.6902e-08 t=8158
qi huang 	岐黄	c=1 d=4.80992e-08 t=8158
qi jian 	期间	c=1 d=6.27047e-10 t=8158
qi lai 	起来	c=1 d=0.704688 t=8158
qi le 	弃了	c=1 d=0.941765 t=8158
qi lin 	麒麟	c=0 d=4.14205e-15 t=8158
qi lin tai cun 	麒麟台村	c=5 d=3.84967 t=8158
qi mo 	期末	c=1 d=0.00151855 t=8158
qi shi 	其实	c=2 d=0.0366992 t=8158
qi ta 	其他	c=16 d=1.0261 t=8158
qi yi 	起义	c=1 d=1.68724e-07 t=8158
qian 	千	c=1 d=2.6612e-15 t=8158
qian 	迁	c=0 d=3.06694e-09 t=8158
qian 	钱	c=3 d=0.57695 t=8158
qian dao 	签到	c=1 d=0.594521 t=8158
qian dou 	钱都	c=2 d=1.6446e-07 t=8158
qian dou hua bu wan 	钱都花不完	c=1 d=1.45623e-10 t=8158
qian du 	迁都	c=1 d=1.45222e-07 t=8158
qian duan 	前端	c=2 d=0.985112 t=8158
qian duan shi jian 	前段时间	c=1 d=1.66699e-12 t=8158
qian fa ren 	签发人	c=4 d=4.92994e-08 t=8158
qian mian 	前面	c=3 d=0.000331007 t=8158
qian ti xia 	前提下	c=1 d=1.1806e-12 t=8158
qian wan 	千万	c=1 d=5.43813e-11 t=8158
qiang 	强	c=2 d=0.0137049 t=8158
qiang 	枪	c=1 d=6.84094e-05 t=8158
qiang da 	强大	c=1 d=1.25685e-13 t=8158
qiang da chu tou niao 	枪打出头鸟	c=1 d=7.17678e-10 t=8158
qiang ke 	抢客	c=1 d=0.995012 t=8158
qiang zhi 	强制	c=5 d=1.06547 t=8158
qiao 	乔	c=1 d=1.37451e-07 t=8158
qiao he 	巧合	c=1 d=2.21595e-08 t=8158
qiao jie 	桥接	c=1 d=1.56911e-06 t=8158
qie 	切	c=10 d=1.6749e-06 t=8158
qie 	窃	c=1 d=4.50722e-08 t=8158
qie bu 	切不	c=0 d=3.49331e-11 t=8158
qie bu guo le 	切不过了	c=1 d=3.51082e-10 t=8158
qie dao 	切到	c=1 d=0.895834 t=8158
qie huan 	切换	c=7 d=1 t=8158
qie hui 	切回	c=0 d=0.0909373 t=8158
qie hui lai 	切回来	c=1 d=0.913931 t=8158
qie mian 	切面	c=1 d=1.91717e-10 t=8158
qie yi 	切一	c=0 d=3.50355e-16 t=8158
qie yi dian 	切一点	c=1 d=5.6047e-13 t=8158
qie yi xia 	切一下	c=1 d=3.52111e-15 t=8158
qin jin zhi hao 	秦晋之好	c=1 d=3.89885e-08 t=8158
qin shi huang 	秦始皇	c=1 d=2.74747e-08 t=8158
qin wang 	秦王	c=1 d=4.88261e-08 t=8158
qing 	卿	c=1 d=5.5926e-08 t=8158
qing 	晴	c=1 d=1.78385e-15 t=8158
qing 	清	c=1 d=5.61634e-08 t=8158
qing 	请	c=2 d=1.99501 t=8158
qing 	青	c=0 d=9.6128e-08 t=8158
qing hua 	清华	c=2 d=0.000356465 t=8158
qing ji yu 	青鲫鱼	c=1 d=9.66099e-07 t=8158
qing jing 	情景	c=2 d=7.074e-09 t=8158
qing li 	清理	c=1 d=0.99005 t=8158
qing liang 	轻量	c=1 d=0.0350844 t=8158
qing nang 	青囊	c=2 d=9.52522e-08 t=8158
qing qiu 	请求	c=2 d=4.18787e-12 t=8158
qing shi 	请示	c=1 d=1.07324e-08 t=8158
qing shou xia wo 	请收下我	c=1 d=8.11136e-09 t=8158
qing tong qi 	青铜器	c=1 d=2.65297e-08 t=8158
qing xu 	情绪	c=0 d=6.98151e-10 t=8158
qing yin yue 	轻音乐	c=1 d=1.18672e-14 t=8158
qing zhong 	青冢	c=1 d=1.07326e-07 t=8158
qing zhong you qing you shi lu 	青冢有情尤识路	c=1 d=1.0031e-07 t=8158
qing zhou 	青州	c=1 d=8.48327e-07 t=8158
qiu 	丘	c=0 d=3.65348e-09 t=8158
qiu ge 	求个	c=1 d=3.89077e-13 t=8158
qiu shui 	秋水	c=1 d=0.985112 t=8158
qiu zhu 	求助	c=1 d=0.123687 t=8158
qu 	区	c=1 d=0.000198445 t=8158
qu 	去	c=1 d=0.0975812 t=8158
qu chong fu 	去重复	c=1 d=0.97531 t=8158
qu diao 	去掉	c=0 d=2.47917e-06 t=8158
qu diao zhi hou 	去掉之后	c=1 d=2.4916e-05 t=8158
qu dong 	驱动	c=2 d=0.712632 t=8158
qu fen 	区分	c=2 d=0.117655 t=8158
qu xiao 	取消	c=1 d=0.000405658 t=8158
qu yi 	取义	c=0 d=1.09455e-05 t=8158
qu yu 	区域	c=1 d=1.41343e-12 t=8158
quan 	全	c=2 d=0.932394 t=8158
quan bian 	权变	c=1 d=3.46692e-09 t=8158
quan bu 	全部	c=2 d=0.000703108 t=8158
quan guo 	全国	c=1 d=0.00302755 t=8158
quan jia tong 	全家桶	c=1 d=1.26336e-15 t=8158
quan jiao 	全角	c=0 d=1.4059e-09 t=8158
quan jiao mao hao 	全角冒号	c=1 d=1.41295e-08 t=8158
quan ju 	全局	c=3 d=2.3748e-14 t=8158
quan kao 	全靠	c=1 d=8.42346e-12 t=8158
quan lou chu lai 	全漏出来	c=1 d=5.46632e-13 t=8158
quan ming 	全名	c=1 d=5.77244e-07 t=8158
quan ping 	全屏	c=9 d=1.61544 t=8158
quan ping zhuang tai 	全屏状态	c=1 d=5.80434e-13 t=8158
quan su 	全速	c=2 d=7.68167e-15 t=8158
quan tao 	全套	c=1 d=1.42419e-13 t=8158
quan wei 	权威	c=1 d=0.00019258 t=8158
quan xian 	权限	c=3 d=1.56358 t=8158
que 	确	c=1 d=0.985112 t=8158
que bao 	确保	c=2 d=0.57695 t=8158
que ge 	缺个	c=1 d=0.0473589 t=8158
que shi 	确实	c=9 d=0.08805 t=8158
qun 	群	c=0 d=1.23452e-09 t=8158
qun li 	群里	c=1 d=0.995012 t=8158
qun zhong 	群众	c=1 d=2.62069e-11 t=8158
ran er 	然而	c=1 d=5.99659e-14 t=8158
ran hou 	然后	c=10 d=1.83297 t=8158
rang 	让	c=2 d=0.483222 t=8158
rang ta 	让他	c=1 d=0.470011 t=8158
rang wo 	让我	c=1 d=4.59749e-06 t=8158
rang zi dan 	让子弹	c=1 d=3.76411e-06 t=8158
re 	热	c=2 d=1.05564e-09 t=8158
re du 	热度	c=0 d=0.0995012 t=8158
ren 	人	c=16 d=0.181802 t=8158
ren 	任	c=0 d=2.3056e-05 t=8158
ren ben 	人本	c=2 d=6.57971e-09 t=8158
ren cai 	人才	c=1 d=7.94804e-05 t=8158
ren dou 	人都	c=1 d=1.46e-11 t=8158
ren he 	任何	c=1 d=2.85173e-05 t=8158
ren ji guan xi 	人际关系	c=1 d=1.58926e-09 t=8158
ren jia 	人家	c=1 d=0.00280879 t=8158
ren min 	人民	c=7 d=0.000394464 t=8158
ren quan 	人权	c=1 d=0.000209665 t=8158
ren ren 	人人	c=1 d=3.84211e-12 t=8158
ren sheng 	人生	c=1 d=9.14398e-07 t=8158
ren shou 	忍受	c=2 d=0.000152248 t=8158
ren wei 	人为	c=1 d=6.30083e-08 t=8158
ren wu 	任务	c=7 d=2.94605 t=8158
ren yi jing 	任已经	c=1 d=0.000231716 t=8158
reng ran 	仍然	c=2 d=2.54193e-05 t=8158
ri 	日	c=1 d=4.50952e-14 t=8158
ri chu er zuo 	日出而作	c=1 d=2.94008e-11 t=8158
ri luo 	日落	c=0 d=2.94008e-12 t=8158
ri luo er ru 	日落而入	c=1 d=2.95481e-11 t=8158
ri nan 	日南	c=1 d=6.08618e-12 t=8158
